video_path,dog_id,dog_name,label,L_stifle_mean,L_stifle_std,L_stifle_min,L_stifle_max,L_stifle_range,R_stifle_mean,R_stifle_std,R_stifle_min,R_stifle_max,R_stifle_range,L_hip_mean,L_hip_std,L_hip_min,L_hip_max,L_hip_range,R_hip_mean,R_hip_std,R_hip_min,R_hip_max,R_hip_range,L_elbow_mean,L_elbow_std,L_elbow_min,L_elbow_max,L_elbow_range,R_elbow_mean,R_elbow_std,R_elbow_min,R_elbow_max,R_elbow_range,L_shoulder_mean,L_shoulder_std,L_shoulder_min,L_shoulder_max,L_shoulder_range,R_shoulder_mean,R_shoulder_std,R_shoulder_min,R_shoulder_max,R_shoulder_range,neck_mean,neck_std,neck_min,neck_max,neck_range,back_mean,back_std,back_min,back_max,back_range,asym_stifle_mean,asym_stifle_std,asym_hip_mean,asym_hip_std,asym_elbow_mean,asym_elbow_std,asym_shoulder_mean,asym_shoulder_std,stride_freq_L_back_hz,stride_freq_R_back_hz,stance_var_ratio_back,stance_var_ratio_front,duration_s,pose_coverage,direction_LR
C:\Users\Gabe\OneDrive\Desktop\CISC\CISC442\cisc-442-final\videos\cisc442 dog videos\CCL Cases\Ash Swider 912908\Ash Gait Videos\Ash Swider_Visit 2_Day1-Baseline_7-24-24\IMG_6552 2.MOV,Ash Swider 912908,Ash Swider,1,127.1352856982378,29.32553802336968,22.380135051959567,180.0,157.61986494804043,115.94559881119064,20.578036080462056,79.59228868750995,173.6598082540901,94.06751956658016,160.26717723750107,16.90814540614841,110.11963314081831,180.0,69.88036685918169,159.6463301977233,15.187588719688705,126.2538377374448,180.0,53.7461622625552,156.98655600839894,23.223541583562717,33.50343698241422,180.0,146.49656301758577,161.5526111504109,11.86427761068733,127.87498365109822,180.0,52.12501634890178,152.13726152624093,20.746430667878585,76.32869286780416,180.0,103.67130713219584,147.96930315019483,18.974984276240423,105.25511870305779,180.0,74.74488129694221,133.07868543830918,14.1765985760143,104.43206293613592,173.65980825409017,69.22774531795424,149.7612674356101,25.63106173276793,1.8476102659945155,165.96375653207352,164.116146266079,27.345428512561455,23.023389310772725,19.16680544755317,12.781764108807492,17.243341433436704,17.101463254452785,25.8306334226098,18.62621895148207,2.570918468557826,0.4284864114263044,1.3619639788723839,0.9580630968539684,2.3337962962962964,1.0,1.0
C:\Users\Gabe\OneDrive\Desktop\CISC\CISC442\cisc-442-final\videos\cisc442 dog videos\CCL Cases\Ash Swider 912908\Ash Gait Videos\Ash Swider_Visit 2_Day1-Baseline_7-24-24\IMG_6555 2.MOV,Ash Swider 912908,Ash Swider,1,128.79220025439622,25.490655433744784,48.12213046211571,180.0,131.8778695378843,121.86849148966198,16.832632667416433,85.0302592718897,168.69006752597977,83.65980825409007,157.88416209813929,17.40778378244226,97.00938425662125,180.0,82.99061574337875,159.64971824173074,13.92788814778104,128.51692630710275,180.0,51.48307369289725,161.04912432760895,11.880753971909991,131.63353933657018,180.0,48.36646066342982,158.406955707088,15.309644559645449,94.96974072811031,180.0,85.03025927188969,147.26264724514144,20.77609135605594,90.0,179.18542295024056,89.18542295024056,148.23340973928248,20.448290128126708,94.96974072811031,178.21008939175394,83.24034866364363,130.6514137172007,14.921943408607577,78.93712737249142,173.65980825409005,94.72268088159863,140.98516396275335,36.137101511085525,16.389540334034788,179.99999914622634,163.61045881219155,25.641809133585326,21.9654148307928,21.23405689064799,14.464322327077054,13.841325133236479,12.211201667531968,27.354933522900538,18.220844388524128,0.33700930820633845,0.33700930820633845,1.5162691246092006,1.3286074639966063,2.9672770919067215,1.0,1.0
C:\Users\Gabe\OneDrive\Desktop\CISC\CISC442\cisc-442-final\videos\cisc442 dog videos\CCL Cases\Ash Swider 912908\Ash Gait Videos\Ash Swider_Visit 2_Day1-Baseline_7-24-24\IMG_6559 2.MOV,Ash Swider 912908,Ash Swider,1,127.07092182100922,19.301043670283498,77.31961650818018,179.99999914622634,102.68038263804617,118.56702754065203,16.11013673409707,79.69515353123397,170.53767779197435,90.84252426074038,155.44327816370608,16.444012450003296,109.17900802581072,179.497418333278,70.31841030746729,156.69485569868309,17.603465460541926,104.4593951503185,178.9583733239902,74.4989781736717,158.82152711993123,15.296844872521007,92.64254529406472,180.0,87.35745470593528,158.5240672365467,16.511645651092362,90.0,179.99999914622634,89.99999914622634,143.74790293258744,21.16922176233538,83.6598082540901,180.0,96.3401917459099,141.63290436217642,22.754251752565725,86.26860300083955,180.0,93.73139699916045,134.16361976429258,20.78139941853052,14.036243467926484,180.0,165.96375653207352,143.3736796411152,23.802893653176785,3.8140748342902824,160.20112364547506,156.38704881118477,21.17774802460927,15.029173829532748,20.921803532586445,13.197216384582118,16.990910399477716,14.620791020417734,24.00356447089115,18.585850845025327,1.7139850151602474,0.8569925075801237,1.11803795641503,1.729728350011375,3.5006140350877195,1.0,1.0
C:\Users\Gabe\OneDrive\Desktop\CISC\CISC442\cisc-442-final\videos\cisc442 dog videos\CCL Cases\Ash Swider 912908\Ash Gait Videos\Ash Swider_Visit 2_Day1-Baseline_7-24-24\IMG_6562 2.MOV,Ash Swider 912908,Ash Swider,1,136.40400332949258,17.41344893884179,96.3401917459099,178.21008939175394,81.86989764584403,119.70917288265406,21.45531842262546,68.19859051364818,179.30972280213493,111.11113228848674,143.50272619939352,13.893605641987966,112.83365417791754,167.10951937024868,54.27586519233114,145.01127397083891,22.677783565708562,85.89612452736306,178.58557678859793,92.68945226123488,158.85644227103623,11.39743365606481,130.6012946450045,180.0,49.39870535499551,155.2417464196029,18.61045560831277,91.78991060824607,180.0,88.21008939175393,146.95049638089267,15.222527974110013,108.10376303450664,175.6012946450045,67.49753161049784,145.1156480318402,19.322162592992605,76.53479190518829,178.21008939175394,101.67529748656565,116.92158160985663,15.95897531433804,50.9061411137705,156.80140948635182,105.89526837258131,146.92821630145244,5.002727619209084,133.99048721738362,163.73979529168804,29.749308074304423,24.817775445551963,17.20720560716981,18.543970961951892,15.47231109807085,17.420348604504376,12.734608540218334,19.793900528340107,14.542154240025303,2.2427038634302328,2.2427038634302328,0.8764872120548709,0.6764762951052625,3.5671227621483377,1.0,0.0
C:\Users\Gabe\OneDrive\Desktop\CISC\CISC442\cisc-442-final\videos\cisc442 dog videos\CCL Cases\Ash Swider 912908\Ash Gait Videos\Ash Swider_Visit 2_Day1-Baseline_7-24-24\IMG_6563 2.MOV,Ash Swider 912908,Ash Swider,1,125.86522565225633,26.341321822790412,41.295372557922875,180.0,138.70462744207714,118.10661488432014,19.63325456416853,55.38885781546961,180.0,124.6111421845304,153.5114232790946,16.72393785593456,111.80140948635182,179.79390096261494,67.99249147626313,159.19790302576698,15.76910303619229,117.8755103865275,180.0,62.124489613472505,160.59597897676795,14.60689348189973,105.25511870305778,180.0,74.74488129694222,157.48745448087956,14.834736398344466,103.73626830562257,180.0,76.26373169437743,145.20668621138896,19.41941981506322,88.69804732742112,178.98602127721435,90.28797394979323,142.22287575901413,26.459947820961904,8.13010235415596,178.21008939175374,170.0799870375978,132.02388547325552,18.431608673977475,77.038598149008,178.21008939175394,101.17149124274594,147.9522536169972,14.910012412860379,47.792702365713296,163.82784098421746,116.03513861850416,28.87969192457361,21.617644261455723,20.981919596353944,11.11192344616725,16.43404925753608,13.569404760862241,26.7700714488398,18.68655932775999,1.9807905598579294,1.1318803199188168,1.042874653768478,0.9692395053401629,3.5339425287356323,1.0,1.0
C:\Users\Gabe\OneDrive\Desktop\CISC\CISC442\cisc-442-final\videos\cisc442 dog videos\CCL Cases\Ash Swider 912908\Ash Gait Videos\Ash Swider_Visit 2_Day1-Baseline_7-24-24\IMG_6564 2.MOV,Ash Swider 912908,Ash Swider,1,136.6543860227257,16.515403287262004,75.96375653207353,175.60129464500443,99.6375381129309,124.56608313672861,20.690525889408438,56.309932474020215,177.06432655357892,120.75439407955871,142.9971963114232,14.811000940512455,101.80243420778356,177.63862534182428,75.83619113404072,143.0716609125533,23.670380689148274,84.40066066347944,178.96775530843428,94.56709464495484,161.46460935941408,11.495694661092001,122.57405713457253,180.0,57.42594286542747,158.99880749635687,18.618085071537934,63.43494882292201,180.0,116.56505117707799,143.35310380024603,17.87375079652525,96.11550356628541,177.27368900609395,81.15818543980853,143.64161485551753,19.917735114153654,90.0,180.0,90.0,125.17912225424438,13.254476841485587,96.70983680775694,161.565051177078,64.85521436932106,149.1203020703785,8.304107395156445,135.13873042988763,169.47608835795276,34.33735792806513,24.006633087054965,18.059243993610846,25.970599360982533,18.650748386235705,15.241360744630834,14.006661779119911,23.933091389140404,18.046496779230363,0.44768505711537526,2.462267814134564,1.0384980262577481,0.9531082403014454,4.467426303854875,1.0,0.0
C:\Users\Gabe\OneDrive\Desktop\CISC\CISC442\cisc-442-final\videos\cisc442 dog videos\CCL Cases\Ash Swider 912908\Ash Gait Videos\Ash Swider_Visit 2_Day1-Baseline_7-24-24\IMG_6565 2.MOV,Ash Swider 912908,Ash Swider,1,126.63989303073927,21.73995551227653,82.99873244250466,165.96375653207352,82.96502408956886,118.8430868662438,16.06306724034176,90.0,165.96375653207355,75.96375653207355,157.48909208435495,14.90303247437457,112.16634582208246,179.10482628978946,66.938480467707,156.74848810808115,16.23965168623631,117.77251177354904,178.15238973400508,60.37987796045604,155.4083026482132,19.14422630575358,98.13010235415598,180.0,81.86989764584402,157.52463872945418,15.425942567814218,108.43494882292201,180.0,71.56505117707799,142.76835089219145,20.229679302319013,97.1250163489018,173.88449643371456,76.75948008481276,144.69236534508153,21.147089102480052,93.81407483429035,175.91438322002503,82.10030838573468,136.23924773457176,16.13346336757269,97.4314079711725,178.26429541107143,80.83288743989893,149.49929477778107,28.437084307297358,2.2906100426385936,174.59620863975027,172.30559859711167,23.102136053102917,17.963225019979443,19.86876628629948,12.618220140432555,18.35925278846841,14.581178613055018,26.812701420936456,17.289959896078038,0.34085599807449996,0.34085599807449996,1.1257723014777201,2.8904495573226625,2.9337902388369677,1.0,1.0
C:\Users\Gabe\OneDrive\Desktop\CISC\CISC442\cisc-442-final\videos\cisc442 dog videos\CCL Cases\Ash Swider 912908\Ash Gait Videos\Ash Swider_Visit 2_Day1-Baseline_7-24-24\IMG_6566 2.MOV,Ash Swider 912908,Ash Swider,1,128.8237463902793,17.986990187051315,74.5387822595581,172.74680538727463,98.20802312771653,120.28595742945497,20.867501349251405,26.565051177078008,178.6677801461303,152.1027289690523,149.8333314696077,20.244445647146755,84.11401216697173,180.0,95.88598783302827,159.98184001224476,13.640001508396692,126.86989764584402,179.2926806314559,52.42278298561189,159.1551404606094,19.153568136048733,90.0,180.0,90.0,156.35857050781158,16.1243628186991,92.72631099390628,180.0,87.27368900609372,144.471292645789,17.552086845228636,98.1980688460163,177.7394980888588,79.5414292428425,152.74269941306846,20.072451793864957,73.3611943295737,180.0,106.6388056704263,127.72142912659196,11.854296661563767,94.23639479905886,149.93141717813756,55.69502237907871,151.2657863351893,10.142693805532566,87.27368900609373,176.18592516570973,88.912236159616,22.748468853886813,17.324537166758507,19.99166898130055,16.889036386335,17.974024468848178,15.311468965259703,24.199681243544784,19.017335210340867,0.37030717801917257,0.37030717801917257,0.7449956500332156,1.3650979235440193,2.7004607508532423,1.0,0.0
C:\Users\Gabe\OneDrive\Desktop\CISC\CISC442\cisc-442-final\videos\cisc442 dog videos\CCL Cases\Ash Swider 912908\Ash Gait Videos\Ash Swider_Visit 2_Day1-Baseline_7-24-24\IMG_6568 2.MOV,Ash Swider 912908,Ash Swider,1,131.69650013827322,21.53559922485153,51.11550356628541,172.0565281894096,120.94102462312418,124.63255207235747,22.095087241233184,78.69006752597979,180.0,101.30993247402021,142.5230411118394,17.71873500688169,95.61220322932488,178.78112476486868,83.1689215355438,155.79933605688146,15.093638960403522,122.68055474336342,179.63506366426947,56.95450892090605,159.20023737720808,20.271347597239043,45.0,180.0,135.0,156.15783753796507,16.796215228405572,71.56505117707799,180.0,108.43494882292201,137.74107245851766,16.533096721890107,82.18470645323312,174.0938588862295,91.90915243299638,152.71373137450175,18.733094132799756,105.94539590092286,180.0,74.05460409907714,123.42245171382353,11.204508831091708,96.519801751657,148.1725534233269,51.65275167166989,149.79758842722993,12.919319639935685,75.96375653207353,164.05460409907715,88.09084756700362,23.421452448983796,18.434771518513287,19.748938188429424,17.419109867782417,15.935258544495317,11.596681674670016,24.303671969545864,15.154271217526507,0.35706455351270083,1.0711936605381025,0.9319749458743466,1.745774279716526,2.8006140350877193,1.0,0.0
C:\Users\Gabe\OneDrive\Desktop\CISC\CISC442\cisc-442-final\videos\cisc442 dog videos\CCL Cases\Ash Swider 912908\Ash Gait Videos\Ash Swider_Visit 2_Day1-Baseline_7-24-24\IMG_6570 2.MOV,Ash Swider 912908,Ash Swider,1,128.02489337940767,21.55891123127537,78.69006752597979,171.869897645844,93.1798301198642,124.00343880048322,15.506694291917508,86.63353933657021,155.3764352138364,68.74289587726619,154.01318294962255,19.9391185650091,101.39213583155274,180.0,78.60786416844726,159.23995900416912,15.920003029324654,127.07926009835892,179.30972280213544,52.230462703776524,160.2573060719091,12.360744411209723,112.61986494804043,180.0,67.38013505195957,159.29566957225018,15.229431139026753,90.0,180.0,90.0,146.26859960773703,20.615534748135687,94.86451443776053,180.0,85.13548556223947,144.65297819541803,22.27004925378555,86.26860300083955,178.84266693187053,92.57406393103098,139.4400122592876,14.749731206765883,103.67130713219584,171.869897645844,68.19859051364816,150.77571921507246,19.91004418925381,29.74488129694223,179.14490260373375,149.40002130679153,22.898423308719728,16.417312609907526,24.04234943309644,15.58742698689154,14.575008159890249,13.634214350263992,27.049422659521092,17.44436967498703,2.0925761241634913,0.6975253747211637,0.9469087575295926,1.0394684511811045,2.867279202279202,1.0,1.0
